userid,logins_m_1,logins_m_2,logins_m_3,logins_m_4,logins_m_5,logins_m_6,logins_m_7,touserid,kudos_t_m_1,kudos_t_m_2,kudos_t_m_3,kudos_t_m_4,kudos_t_m_5,kudos_t_m_6,kudos_t_m_7,fromuserid,kudos_f_m_1,kudos_f_m_2,kudos_f_m_3,kudos_f_m_4,kudos_f_m_5,kudos_f_m_6,kudos_f_m_7,userid_0,kpi_m_1,kpi_m_2,kpi_m_3,kpi_m_4,kpi_m_5,kpi_m_6,kpi_m_7,userid_1,lrn_m_1,lrn_m_2,lrn_m_3,lrn_m_4,lrn_m_5,lrn_m_6,lrn_m_7,userid_2,lrn_t_m_1,lrn_t_m_2,lrn_t_m_3,lrn_t_m_4,lrn_t_m_5,lrn_t_m_6,lrn_t_m_7
23879,,186,254,270,122,163,295,23879,,,1,1,,,,,,,,,,,,23879,8,24,20,25,20,16,27,23879,,,21.666,32.777,,,30.294,23879,,,7,25,,,41
20709,140,210,622,692,465,134,360,20709,,,1,,,,,,,,,,,,,20709,20,18,28,18,13,13,24,20709,0.000,,,,,,,20709,3,,,,,,
23344,137,85,119,88,60,8,,23344,1,,1,,,,,,,,,,,,,23344,37,33,36,35,27,12,0,23344,,25.000,,,25.000,,,23344,,2,,,2,,
12975,75,79,105,103,116,195,184,12975,,,,,,,1,,,,,,,,,12975,31,35,29,29,32,29,33,12975,22.000,,,,,21.176,,12975,3,,,,,31,
23933,128,158,38,48,91,57,187,,,,,,,,,,,,,,,,,23933,11,14,9,7,14,10,17,23933,12.500,40.000,,,,,31.666,23933,6,36,,,,,59
22518,284,254,272,254,233,288,227,,,,,,,,,,,,,,,,,22518,25,25,25,25,29,28,31,22518,25.000,,,32.777,,,22.941,22518,2,,,65,,,43
24394,,15,71,,,,,,,,,,,,,,,,,,,,,24394,,12,2,0,0,0,,24394,,,5.714,,,,,24394,,,33,,,,
24241,,54,491,661,711,530,576,,,,,,,,,24241,,,,,,1,1,24241,,0,34,35,37,35,37,24241,,20.000,15.000,30.000,10.833,30.625,25.000,24241,,9,2,22,16,25,37
6966,226,120,136,218,177,250,276,,,,,,,,,,,,,,,,,6966,36,15,23,30,22,32,29,6966,16.666,,,20.833,,8.333,17.307,6966,4,,,9,,4,41
19587,265,98,61,206,133,81,8,,,,,,,,,,,,,,,,,19587,28,16,21,19,23,10,2,19587,,,,31.500,,,,19587,,,,85,,,
14737,421,156,201,151,98,220,138,,,,,,,,,,,,,,,,,14737,36,25,25,24,16,25,19,14737,25.000,25.000,26.666,,,23.125,13.750,14737,2,3,23,,,14,9
9889,114,259,117,124,125,97,101,,,,,,,,,,,,,,,,,9889,23,29,25,20,29,18,27,9889,,33.125,18.333,32.000,28.750,27.000,15.000,9889,,97,8,12,12,21,8
11385,130,152,137,202,144,120,101,,,,,,,,,11385,1,,,,,,,11385,26,35,27,21,33,26,29,11385,25.000,25.000,16.250,55.000,,31.666,,11385,5,2,9,42,,49,
10139,155,91,145,143,123,81,147,10139,1,,,,1,,,,,,,,,,,10139,38,31,36,36,34,31,33,10139,,0.000,,,,,,10139,,3,,,,,
11162,262,241,259,403,419,123,311,11162,,1,,2,,,,,,,,,,,,11162,37,45,45,41,38,34,44,11162,,21.000,8.333,25.500,32.500,23.333,15.000,11162,,7,5,65,52,5,9
15485,245,388,472,245,157,163,122,15485,,1,,,,,,,,,,,,,,15485,25,33,33,20,10,16,27,15485,25.000,20.000,16.250,13.333,25.000,25.000,26.875,15485,1,8,5,13,2,4,8
18809,265,383,409,396,470,121,439,18809,,1,2,,,,3,,,,,,,,,18809,26,34,31,25,28,17,34,18809,0.000,,0.000,24.583,,,25.277,18809,3,,1,64,,,72
21925,180,221,164,221,229,204,320,21925,2,2,1,1,,,,,,,,,,,,21925,20,19,17,17,18,7,17,21925,8.800,,,24.615,,,27.187,21925,6,,,35,,,47
21556,73,51,125,127,139,99,119,,,,,,,,,21556,,1,,,,,,21556,26,27,33,22,36,27,37,21556,,,,25.000,,27.500,,21556,,,,25,,8,
22487,187,111,128,162,22,101,79,,,,,,,,,,,,,,,,,22487,29,23,27,24,13,25,12,22487,,,,23.888,,,26.785,22487,,,,59,,,58
20568,160,92,142,197,110,98,156,,,,,,,,,20568,1,,,2,,,,20568,22,17,27,23,20,19,22,20568,25.000,25.000,20.000,29.166,,25.000,28.076,20568,2,5,4,6,,6,47
6433,682,495,499,399,323,,,,,,,,,,,,,,,,,,,6433,21,19,25,14,13,0,0,6433,25.000,,17.142,48.333,,,,6433,4,,47,5,,,
7265,143,165,151,98,121,118,145,,,,,,,,,7265,,,,,,1,,7265,31,28,18,12,21,33,31,7265,18.000,21.666,17.500,40.000,16.666,,10.000,7265,1,13,3,3,5,,1
21966,133,93,86,123,65,64,92,21966,,,1,,,,,,,,,,,,,21966,21,21,21,26,14,18,15,21966,,,,20.294,,,6.666,21966,,,,51,,,4
22527,431,325,229,306,306,312,474,22527,1,,2,2,2,,,22527,,,3,1,,,1,22527,33,29,29,29,32,30,31,22527,0.000,,,13.846,,,27.307,22527,3,,,52,,,35
6249,112,109,99,139,117,96,90,6249,,1,,,,,,,,,,,,,,6249,29,30,25,20,29,24,25,6249,,32.500,21.666,15.000,25.000,21.250,30.000,6249,,12,5,8,7,8,5
22300,337,279,171,263,126,262,464,22300,1,,1,,,,1,,,,,,,,,22300,24,22,20,21,16,22,26,22300,7.000,11.333,20.000,13.625,20.000,24.166,22.500,22300,12,18,16,19,10,17,37
22573,231,183,163,111,99,216,373,22573,,,,,,,1,,,,,,,,,22573,21,11,29,22,17,23,31,22573,0.000,23.125,20.000,0.000,21.875,22.500,31.428,22573,3,77,2,4,22,25,28
