userid,logins_m_1,logins_m_2,logins_m_3,logins_m_4,touserid,kudos_t_m_1,kudos_t_m_2,kudos_t_m_3,kudos_t_m_4,fromuserid,kudos_f_m_1,kudos_f_m_2,kudos_f_m_3,kudos_f_m_4,userid_0,kpi_m_1,kpi_m_2,kpi_m_3,kpi_m_4,userid_1,lrn_m_1,lrn_m_2,lrn_m_3,lrn_m_4,userid_2,lrn_t_m_1,lrn_t_m_2,lrn_t_m_3,lrn_t_m_4
22438,382,327,759,446,,,,,,,,,,,22438,22,20,28,19,22438,,,29.375,,22438,,,52,
23037,382,253,335,221,23037,2,,1,,,,,,,23037,22,19,26,15,23037,,,24.166,,23037,,,42,
11313,85,87,66,47,11313,1,,1,,,,,,,11313,19,20,17,19,11313,,,22.777,,11313,,,50,
10062,11,31,19,2,10062,,1,,2,,,,,,10062,39,38,40,40,10062,,26.666,0.000,25.000,10062,,9,1,4
25673,,201,114,215,,,,,,,,,,,25673,0,14,12,28,25673,,16.451,10.000,,25673,,126,2,
6188,145,214,220,143,,,,,,,,,,,6188,28,36,33,29,6188,,15.000,30.625,,6188,,17,103,
24034,74,101,194,80,,,,,,,,,,,24034,12,12,16,10,24034,,,25.750,,24034,,,98,
19042,274,397,556,312,19042,,,1,,19042,1,1,,,19042,24,28,28,24,19042,,,26.388,15.000,19042,,,68,10
18259,266,289,300,255,18259,,,2,2,18259,,,2,1,18259,13,22,18,16,18259,150.000,40.000,,,18259,2,1,,
12117,718,200,234,339,12117,1,1,,,,,,,,12117,29,9,15,25,12117,25.000,,18.823,0.000,12117,2,,51,2
8630,220,290,587,248,,,,,,,,,,,8630,25,25,30,38,8630,25.000,35.000,23.529,,8630,1,5,51,
25848,,47,233,370,25848,,,,1,,,,,,25848,,9,26,28,25848,,23.333,15.000,10.000,25848,,15,10,3
5764,360,405,230,218,,,,,,5764,,,,1,5764,28,32,16,27,5764,150.000,30.000,16.500,15.000,5764,2,6,11,1
8469,7,20,,14,,,,,,,,,,,8469,0,0,0,0,8469,,25.000,,25.000,8469,,3,,2
12981,152,263,255,381,12981,,,1,,,,,,,12981,25,38,37,35,12981,26.000,17.000,10.000,32.727,12981,8,9,1,64
9558,659,457,262,169,9558,,,,1,,,,,,9558,30,19,21,23,9558,28.750,30.000,3.333,10.000,9558,8,33,5,21
8124,154,139,141,179,,,,,,,,,,,8124,31,26,35,25,8124,12.000,,15.000,10.000,8124,12,,2,2
9773,93,30,16,18,9773,1,,,,,,,,,9773,26,18,12,17,9773,25.000,,,25.000,9773,4,,,5
20456,136,284,135,135,,,,,,,,,,,20456,23,36,31,31,20456,25.000,,30.000,,20456,8,,59,
6397,216,272,284,138,,,,,,,,,,,6397,40,35,40,29,6397,25.000,29.444,18.750,,6397,2,25,7,
23909,48,58,78,49,23909,1,,,1,,,,,,23909,12,19,12,22,23909,25.000,7.500,12.500,0.000,23909,2,3,8,1
13705,76,101,196,184,13705,,,,1,,,,,,13705,24,25,20,24,13705,,,30.526,,13705,,,28,
6512,56,114,281,160,,,,,,,,,,,6512,20,31,34,34,6512,,12.500,16.842,,6512,,3,37,
17611,183,63,79,192,,,,,,,,,,,17611,17,17,11,25,17611,25.000,,20.000,18.333,17611,2,,5,19
11579,144,187,207,127,11579,4,,,,11579,3,,,,11579,24,36,31,22,11579,12.142,32.000,10.833,22.500,11579,11,7,8,54
12808,150,95,232,197,12808,,1,,1,,,,,,12808,24,27,28,28,12808,,,23.125,,12808,,,51,
11281,128,76,141,79,,,,,,,,,,,11281,10,14,22,13,11281,12.857,25.000,8.333,10.000,11281,20,21,24,16
24253,511,817,1174,876,24253,5,,5,,24253,1,4,3,3,24253,25,30,34,32,24253,,25.000,23.666,28.333,24253,,5,54,42
19409,143,362,465,170,,,,,,,,,,,19409,10,15,17,10,19409,30.000,40.000,19.230,0.000,19409,8,2,64,9
23009,162,163,200,106,23009,,1,1,,23009,,2,,,23009,22,21,23,15,23009,23.750,30.000,21.250,,23009,8,2,36,
6408,326,256,370,612,6408,9,2,,2,6408,,4,5,7,6408,37,25,36,43,6408,22.142,32.857,12.500,25.000,6408,16,17,6,25
16797,337,184,315,137,,,,,,,,,,,16797,38,40,40,29,16797,16.428,,26.000,,16797,27,,33,
16348,237,283,221,232,,,,,,,,,,,16348,39,35,37,36,16348,29.285,23.333,8.750,15.000,16348,13,6,8,9
7083,627,763,1241,920,7083,,1,,,7083,,5,,,7083,33,34,36,36,7083,0.000,17.500,21.666,0.000,7083,2,5,59,1
26228,,,155,22,,,,,,,,,,,26228,,0,8,4,26228,,,12.727,,26228,,,32,
17848,50,100,256,103,,,,,,,,,,,17848,10,17,27,10,17848,,40.000,20.000,,17848,,2,33,
24369,161,75,80,59,,,,,,,,,,,24369,28,17,11,23,24369,12.500,40.000,19.444,23.333,24369,3,2,20,16
24712,24,20,130,44,,,,,,,,,,,24712,13,8,15,10,24712,,,23.928,,24712,,,54,
23140,131,77,61,66,23140,,1,,,,,,,,23140,22,19,20,20,23140,,,14.000,15.000,23140,,,56,2
24189,471,371,472,469,,,,,,,,,,,24189,30,29,24,32,24189,15.000,26.111,26.666,15.000,24189,51,20,28,9
22287,147,58,37,59,22287,,,1,,,,,,,22287,31,27,25,27,22287,19.545,,,5.000,22287,24,,,2
16711,185,396,439,292,,,,,,,,,,,16711,19,24,20,18,16711,28.750,24.500,12.000,18.333,16711,4,11,13,13
25308,44,109,82,55,,,,,,,,,,,25308,10,14,13,11,25308,,9.500,22.000,22.500,25308,,10,9,8
11160,211,298,189,231,11160,1,,,,11160,,,3,,11160,2,7,8,20,11160,,34.375,,0.000,11160,,22,,1
20494,114,94,165,95,,,,,,,,,,,20494,19,24,24,23,20494,28.750,17.000,21.111,22.142,20494,15,25,18,15
22717,511,225,416,268,22717,3,,,,22717,3,,,,22717,26,17,26,16,22717,28.750,25.000,15.000,7.500,22717,7,16,13,2
19891,110,110,183,151,19891,4,,,1,19891,,,,2,19891,22,16,32,27,19891,,19.000,30.000,12.500,19891,,7,40,2
7360,181,236,639,211,7360,1,,,,,,,,,7360,24,20,41,24,7360,,23.333,19.285,,7360,,5,30,
6021,139,178,278,123,6021,2,3,1,,6021,2,,1,1,6021,35,38,38,32,6021,25.000,21.428,30.000,21.250,6021,4,14,11,9
24888,192,203,305,242,24888,1,,,,,,,,,24888,25,13,16,18,24888,8.333,22.500,11.666,,24888,4,10,16,
25955,21,139,72,87,,,,,,,,,,,25955,0,10,12,13,25955,,14.130,10.000,,25955,,52,2,
21448,370,349,335,272,,,,,,,,,,,21448,30,25,19,26,21448,,22.857,10.000,5.000,21448,,11,17,7
23656,205,237,198,144,,,,,,,,,,,23656,16,29,21,12,23656,23.888,21.250,10.000,20.000,23656,16,15,3,15
21285,153,98,238,43,21285,,,1,,,,,,,21285,20,16,17,13,21285,24.285,,27.812,,21285,25,,55,
24988,222,218,399,293,24988,,,2,,,,,,,24988,13,17,23,22,24988,,15.000,26.250,0.000,24988,,2,34,15
23076,77,52,60,240,,,,,,,,,,,23076,23,17,21,25,23076,25.000,,18.750,10.000,23076,4,,8,1
24549,721,354,482,331,24549,1,,,,24549,,,1,,24549,31,27,31,23,24549,22.500,,16.000,,24549,7,,21,
14469,146,306,127,109,14469,,4,,,,,,,,14469,17,25,24,14,14469,,25.000,11.000,,14469,,14,10,
11243,297,240,364,344,,,,,,11243,20,1,3,1,11243,14,14,29,20,11243,25.000,18.333,10.000,20.000,11243,5,12,2,7
7983,635,775,815,670,7983,,1,2,,7983,,2,1,,7983,32,35,35,31,7983,26.000,25.625,28.000,18.333,7983,8,18,20,8
15567,180,143,259,117,,,,,,,,,,,15567,14,14,17,14,15567,27.500,30.000,22.307,0.000,15567,4,3,31,1
22762,166,107,426,74,,,,,,,,,,,22762,19,10,31,13,22762,,,26.071,,22762,,,33,
25948,,72,166,322,25948,,,,1,,,,,,25948,0,10,21,23,25948,,9.210,20.000,40.000,25948,,37,15,4
14151,108,65,88,83,,,,,,,,,,,14151,27,23,28,34,14151,25.000,,25.000,30.000,14151,3,,14,1
10251,55,273,67,16,,,,,,10251,,1,,,10251,13,26,15,11,10251,,27.500,,,10251,,6,,
12570,204,449,393,370,12570,,,,2,12570,1,,,5,12570,23,17,26,27,12570,,23.333,26.363,10.000,12570,,9,22,1
23845,332,385,675,182,,,,,,,,,,,23845,22,24,33,25,23845,,,23.611,,23845,,,40,
18964,182,222,181,203,,,,,,,,,,,18964,16,22,19,21,18964,18.000,,20.714,23.333,18964,5,,11,3
13854,541,343,624,513,13854,5,,1,1,13854,,2,,,13854,25,14,28,29,13854,25.000,20.000,10.000,,13854,2,10,5,
21677,220,170,105,64,21677,,3,,,,,,,,21677,27,22,22,17,21677,0.000,12.307,14.000,,21677,1,19,9,
13786,328,208,430,257,,,,,,,,,,,13786,25,23,28,23,13786,24.615,,13.333,23.750,13786,44,,8,14
25551,44,186,263,125,25551,2,1,,,,,,,,25551,13,31,39,25,25551,,,20.909,,25551,,,12,
23145,159,267,428,119,23145,,2,2,,,,,,,23145,30,34,30,34,23145,,,21.304,,23145,,,78,
8052,166,107,140,43,,,,,,8052,,,1,,8052,29,23,24,13,8052,28.750,,15.000,,8052,4,,14,
18745,228,178,299,231,,,,,,,,,,,18745,24,15,27,21,18745,25.000,26.666,15.000,10.000,18745,2,8,8,2
16374,8,11,17,,,,,,,,,,,,16374,40,32,45,36,16374,25.000,28.333,10.000,,16374,2,7,6,
25604,2,,424,499,,,,,,,,,,,25604,8,6,24,21,25604,,,18.846,24.285,25604,,,20,64
24522,98,142,84,61,,,,,,,,,,,24522,21,24,14,10,24522,25.000,25.000,20.000,20.000,24522,5,2,8,5
18509,46,23,,,,,,,,,,,,,18509,12,9,1,0,18509,10.000,,,,18509,1,,,
14092,183,196,303,55,,,,,,,,,,,14092,27,29,33,14,14092,12.500,30.000,23.571,,14092,4,2,35,
22976,359,420,263,443,,,,,,,,,,,22976,16,21,21,26,22976,25.000,,10.000,,22976,17,,1,
8849,250,252,501,178,,,,,,,,,,,8849,27,28,37,23,8849,,27.500,,,8849,,5,,
22739,409,404,455,360,22739,,,2,,,,,,,22739,33,33,38,33,22739,20.000,33.000,20.000,10.000,22739,8,12,31,1
12971,118,210,269,75,,,,,,,,,,,12971,28,30,34,16,12971,28.750,34.000,20.000,10.000,12971,6,9,2,1
21462,270,266,264,87,,,,,,21462,,,,1,21462,29,31,27,13,21462,,,32.500,,21462,,,73,
23543,21,17,27,20,,,,,,,,,,,23543,7,9,10,11,23543,25.000,,20.000,,23543,1,,3,
13029,110,230,302,150,,,,,,13029,,1,,,13029,21,32,39,25,13029,30.000,25.000,24.000,20.000,13029,6,7,25,4
11842,446,505,733,601,11842,,1,,,,,,,,11842,36,31,31,37,11842,22.500,30.625,24.285,20.000,11842,7,20,46,54
12982,214,206,262,191,,,,,,12982,7,6,1,,12982,32,25,27,21,12982,25.000,33.000,15.000,31.000,12982,2,11,5,10
6335,82,1,,,,,,,,,,,,,6335,11,0,0,,6335,21.666,,,,6335,3,,,
18064,394,125,635,328,18064,,,1,1,,,,,,18064,27,19,39,29,18064,,,27.666,,18064,,,76,
6082,366,286,388,260,6082,1,,1,1,,,,,,6082,31,14,28,23,6082,20.000,16.666,33.000,8.571,6082,4,19,9,12
25119,268,395,296,240,,,,,,,,,,,25119,27,27,26,29,25119,28.750,24.500,5.000,28.571,25119,7,20,5,35
9372,155,342,505,140,9372,,,1,,,,,,,9372,28,34,35,24,9372,,,32.500,0.000,9372,,,22,1
11717,212,255,186,272,11717,,,,1,11717,,1,1,,11717,32,44,46,40,11717,18.571,25.000,,13.571,11717,10,4,,13
13164,249,277,470,312,,,,,,13164,,3,,,13164,29,34,31,39,13164,16.000,,19.000,12.500,13164,7,,62,4
19203,78,218,89,125,,,,,,,,,,,19203,6,20,10,24,19203,25.000,16.666,,,19203,4,5,,
14027,3,68,91,148,14027,,,,1,,,,,,14027,0,4,10,11,14027,,29.375,9.375,13.000,14027,,22,20,27
18443,179,786,687,236,18443,,1,,,,,,,,18443,23,33,30,22,18443,,,21.521,,18443,,,38,
16536,34,63,49,41,,,,,,,,,,,16536,16,18,30,23,16536,19.000,27.500,,7.500,16536,8,4,,2
15555,84,63,3,,,,,,,,,,,,15555,20,20,18,20,15555,25.000,23.125,,,15555,5,17,,
18572,319,239,454,313,18572,2,,1,1,,,,,,18572,26,22,42,43,18572,40.000,,21.578,25.000,18572,31,,58,7
23255,261,272,403,275,,,,,,,,,,,23255,14,21,28,18,23255,21.111,30.000,20.222,0.000,23255,14,2,38,4
25418,321,203,3,,,,,,,,,,,,25418,9,7,0,0,25418,12.777,0.000,,,25418,13,1,,
21805,462,199,286,594,,,,,,,,,,,21805,31,23,28,33,21805,11.666,26.250,31.428,21.000,21805,15,13,31,22
13899,66,253,158,29,13899,,,2,,,,,,,13899,14,23,19,24,13899,,25.000,,,13899,,8,,
22866,161,143,139,103,,,,,,22866,,,3,,22866,31,30,32,29,22866,12.857,15.000,20.000,0.000,22866,24,37,31,23
23825,235,241,242,209,23825,,1,,,,,,,,23825,43,36,37,43,23825,17.500,30.000,30.000,30.000,23825,2,4,19,2
23992,259,176,185,177,,,,,,,,,,,23992,26,21,18,18,23992,22.500,,14.642,12.500,23992,7,,46,6
24197,834,999,757,904,24197,2,,,1,,,,,,24197,22,24,32,25,24197,28.750,28.571,10.000,20.000,24197,89,17,2,2
15662,70,97,76,23,,,,,,,,,,,15662,23,23,26,18,15662,25.000,32.857,19.166,,15662,2,17,35,
22973,693,785,176,766,,,,,,,,,,,22973,23,20,11,25,22973,20.000,16.666,,15.000,22973,12,6,,2
15708,52,39,8,,,,,,,,,,,,15708,10,12,1,0,15708,,25.000,,,15708,,9,,
20095,1091,712,659,603,,,,,,,,,,,20095,34,32,26,28,20095,,25.000,12.222,,20095,,5,17,
9023,81,73,196,203,9023,,,1,,9023,5,,9,1,9023,37,34,43,30,9023,,31.666,28.214,20.000,9023,,6,30,25
18180,65,58,210,61,,,,,,,,,,,18180,18,14,25,18,18180,16.000,,25.357,15.000,18180,10,,64,6
6117,102,96,271,129,,,,,,,,,,,6117,20,22,30,14,6117,,,38.571,,6117,,,18,
18717,8,,42,18,,,,,,,,,,,18717,5,13,18,11,18717,,,30.769,,18717,,,28,
25724,,150,280,160,,,,,,,,,,,25724,0,9,16,10,25724,,15.000,19.375,,25724,,11,14,
22366,86,50,97,57,,,,,,,,,,,22366,11,3,5,6,22366,,,13.666,,22366,,,28,
19387,43,10,61,34,,,,,,,,,,,19387,16,13,14,10,19387,,,15.909,,19387,,,18,
24979,27,12,53,51,,,,,,,,,,,24979,4,4,16,12,24979,25.000,,25.000,,24979,2,,5,
25255,318,464,602,316,,,,,,,,,,,25255,20,23,25,16,25255,25.000,25.000,25.652,,25255,2,2,72,
26321,,3,76,199,,,,,,,,,,,26321,,0,10,7,26321,,,,25.555,26321,,,,58
9711,118,197,392,255,,,,,,,,,,,9711,17,21,29,26,9711,0.000,,30.333,5.000,9711,3,,29,2
19719,194,277,399,304,,,,,,,,,,,19719,28,36,41,28,19719,26.666,20.000,0.000,29.583,19719,8,7,1,37
16255,178,223,148,161,,,,,,,,,,,16255,19,22,19,13,16255,19.000,22.500,25.000,17.777,16255,12,5,5,32
21508,372,366,181,239,,,,,,21508,,2,,,21508,20,25,7,10,21508,21.666,27.500,7.142,18.333,21508,6,6,18,18
12094,212,218,315,237,12094,1,1,,,,,,,,12094,27,26,27,28,12094,25.000,26.666,23.461,0.000,12094,2,8,44,1
5700,1192,1042,1264,741,5700,,,1,,,,,,,5700,20,22,21,9,5700,60.250,40.000,10.000,15.000,5700,16,1,2,1
7620,186,99,192,174,,,,,,,,,,,7620,35,25,27,28,7620,0.000,,21.153,13.333,7620,5,,25,8
24954,121,38,30,,,,,,,,,,,,24954,18,17,21,4,24954,3.125,30.000,18.750,,24954,10,3,8,
25460,384,554,393,346,,,,,,,,,,,25460,12,22,22,19,25460,22.000,13.000,,18.000,25460,8,16,,16
17595,212,399,340,285,17595,,1,,,,,,,,17595,17,25,21,21,17595,150.000,,,,17595,3,,,
25603,48,259,205,222,,,,,,,,,,,25603,10,25,25,14,25603,10.000,28.750,18.750,20.000,25603,39,53,35,20
12279,60,65,97,50,12279,,1,,,,,,,,12279,20,28,22,32,12279,22.222,30.000,22.500,,12279,13,3,29,
23483,408,287,291,290,,,,,,,,,,,23483,19,23,14,13,23483,,,30.416,,23483,,,31,
24260,271,218,210,111,24260,4,1,2,,24260,15,8,1,,24260,23,26,28,26,24260,25.000,15.714,10.714,,24260,3,14,10,
12571,96,97,158,101,,,,,,12571,,,1,,12571,19,21,24,20,12571,24.285,,20.000,25.000,12571,17,,14,15
22751,102,398,153,25,22751,,1,1,1,,,,,,22751,23,41,29,16,22751,,15.833,20.714,,22751,,10,36,
17847,186,162,300,170,17847,1,,,,,,,,,17847,44,47,44,46,17847,0.000,30.000,27.307,,17847,1,3,79,
21129,245,311,550,243,21129,,3,2,1,,,,,,21129,29,29,29,26,21129,25.000,40.000,12.777,,21129,1,2,65,
11617,559,415,461,443,,,,,,11617,,,20,,11617,39,31,29,31,11617,18.823,30.000,20.833,15.000,11617,94,24,19,36
25399,501,211,276,252,25399,,1,1,,,,,,,25399,23,19,18,18,25399,,,13.809,,25399,,,48,
22874,196,213,371,585,22874,,,1,,22874,,,1,,22874,15,19,24,35,22874,,20.000,10.000,25.000,22874,,16,9,5
16994,611,377,423,329,,,,,,,,,,,16994,26,27,24,23,16994,,30.000,24.090,,16994,,2,23,
